date, pm25, pm10, o3, no2, so2, co, aqi
2024/9/29, , , , , , , 60
2024/9/30, , , , , , , 56
2024/4/1, , , , , , , 61
2024/4/2, , , , , , , 62
2024/4/3, , , , , , , 60
2024/4/4, , , , , , , 63
2024/4/5, , , , , , , 63
2024/4/6, , , , , , , 69
2024/4/7, , , , , , , 76
2024/4/8, , , , , , , 76
2024/4/9, , , , , , , 71
2024/4/10, , , , , , , 77
2024/4/11, , , , , , , 60
2024/4/12, , , , , , , 62
2024/4/13, , , , , , , 65
2024/4/14, , , , , , , 65
2024/4/15, , , , , , , 66
2024/4/16, , , , , , , 65
2024/4/17, , , , , , , 59
2024/4/18, , , , , , , 60
2024/4/19, , , , , , , 62
2024/4/20, , , , , , , 61
2024/4/21, , , , , , , 58
2024/4/22, , , , , , , 56
2024/4/23, , , , , , , 56
2024/4/24, , , , , , , 63
2024/4/25, , , , , , , 58
2024/4/26, , , , , , , 69
2024/4/27, , , , , , , 56
2024/4/28, , , , , , , 63
2024/4/29, , , , , , , 62
2024/4/30, , , , , , , 65
2024/5/1, , , , , , , 62
2024/5/2, , , , , , , 61
2024/5/3, , , , , , , 61
2024/5/4, , , , , , , 57
2024/5/5, , , , , , , 57
2024/5/6, , , , , , , 58
2024/5/7, , , , , , , 57
2024/5/8, , , , , , , 56
2024/5/9, , , , , , , 65
2024/5/10, , , , , , , 63
2024/5/11, , , , , , , 61
2024/5/12, , , , , , , 50
2024/5/13, , , , , , , 58
2024/5/14, , , , , , , 53
2024/5/15, , , , , , , 59
2024/5/16, , , , , , , 57
2024/5/17, , , , , , , 37
2024/5/18, , , , , , , 57
2024/5/19, , , , , , , 68
2024/5/20, , , , , , , 59
2024/5/21, , , , , , , 58
2024/5/22, , , , , , , 61
2024/5/23, , , , , , , 65
2024/5/24, , , , , , , 53
2024/5/25, , , , , , , 61
2024/5/26, , , , , , , 57
2024/5/27, , , , , , , 62
2024/5/28, , , , , , , 58
2024/5/29, , , , , , , 62
2024/5/30, , , , , , , 67
2024/5/31, , , , , , , 62
2024/6/1, , , , , , , 56
2024/6/2, , , , , , , 54
2024/6/3, , , , , , , 59
2024/6/4, , , , , , , 58
2024/6/5, , , , , , , 56
2024/6/6, , , , , , , 62
2024/6/7, , , , , , , 49
2024/6/8, , , , , , , 46
2024/6/9, , , , , , , 38
2024/6/10, , , , , , , 35
2024/6/11, , , , , , , 53
2024/6/12, , , , , , , 57
2024/6/13, , , , , , , 62
2024/6/14, , , , , , , 51
2024/6/15, , , , , , , 40
2024/6/16, , , , , , , 55
2024/6/17, , , , , , , 35
2024/6/18, , , , , , , 38
2024/6/19, , , , , , , 45
2024/6/20, , , , , , , 52
2024/6/21, , , , , , , 46
2024/6/22, , , , , , , 44
2024/6/23, , , , , , , 50
2024/6/24, , , , , , , 67
2024/6/25, , , , , , , 71
2024/6/26, , , , , , , 80
2024/6/27, , , , , , , 79
2024/6/28, , , , , , , 65
2024/6/29, , , , , , , 55
2024/6/30, , , , , , , 59
2024/1/1, , , , , , , 55
2024/1/2, , , , , , , 56
2024/1/3, , , , , , , 55
2024/1/4, , , , , , , 57
2024/1/5, , , , , , , 65
2024/1/6, , , , , , , 58
2024/1/7, , , , , , , 52
2024/1/8, , , , , , , 45
2024/1/9, , , , , , , 57
2024/1/10, , , , , , , 46
2024/1/11, , , , , , , 51
2024/1/12, , , , , , , 53
2024/1/13, , , , , , , 62
2024/1/14, , , , , , , 63
2024/1/15, , , , , , , 59
2024/1/16, , , , , , , 51
2024/1/17, , , , , , , 56
2024/1/18, , , , , , , 59
2024/1/19, , , , , , , 62
2024/1/20, , , , , , , 62
2024/1/21, , , , , , , 76
2024/1/22, , , , , , , 68
2024/1/23, , , , , , , 56
2024/1/24, , , , , , , 55
2024/1/25, , , , , , , 53
2024/1/26, , , , , , , 45
2024/1/27, , , , , , , 56
2024/1/28, , , , , , , 54
2024/1/29, , , , , , , 55
2024/1/30, , , , , , , 55
2024/1/31, , , , , , , 57
2024/2/1, , , , , , , 61
2024/2/2, , , , , , , 64
2024/2/3, , , , , , , 69
2024/2/4, , , , , , , 66
2024/2/5, , , , , , , 67
2024/2/6, , , , , , , 74
2024/2/7, , , , , , , 66
2024/2/8, , , , , , , 64
2024/2/9, , , , , , , 63
2024/2/10, , , , , , , 71
2024/2/11, , , , , , , 58
2024/2/12, , , , , , , 54
2024/2/13, , , , , , , 52
2024/2/14, , , , , , , 48
2024/2/15, , , , , , , 47
2024/2/16, , , , , , , 59
2024/2/17, , , , , , , 56
2024/2/18, , , , , , , 68
2024/2/19, , , , , , , 57
2024/2/20, , , , , , , 57
2024/2/21, , , , , , , 58
2024/2/22, , , , , , , 56
2024/2/23, , , , , , , 59
2024/2/24, , , , , , , 57
2024/2/25, , , , , , , 60
2024/2/26, , , , , , , 57
2024/2/27, , , , , , , 58
2024/2/28, , , , , , , 58
2024/2/29, , , , , , , 57
2024/3/1, , , , , , , 65
2024/3/2, , , , , , , 60
2024/3/3, , , , , , , 60
2024/3/4, , , , , , , 56
2024/3/5, , , , , , , 61
2024/3/6, , , , , , , 57
2024/3/7, , , , , , , 58
2024/3/8, , , , , , , 66
2024/3/9, , , , , , , 76
2024/3/10, , , , , , , 61
2024/3/11, , , , , , , 62
2024/3/12, , , , , , , 77
2024/3/13, , , , , , , 73
2024/3/14, , , , , , , 72
2024/3/15, , , , , , , 68
2024/3/16, , , , , , , 74
2024/3/17, , , , , , , 76
2024/3/18, , , , , , , 69
2024/3/19, , , , , , , 70
2024/3/20, , , , , , , 68
2024/3/21, , , , , , , 65
2024/3/22, , , , , , , 67
2024/3/23, , , , , , , 71
2024/3/24, , , , , , , 70
2024/3/25, , , , , , , 63
2024/3/26, , , , , , , 67
